"性別" "數學" "數學興趣" "數學評價" "數學信心" "科學" "科學興趣" "科學評價" "科學信心" "教育資源" "父母教育"
"女" 557.1768 9.4964 8.57829 8.76168 578.71287 8.09896 9.45051 8.36075 10.23835 "大學以上"
"女" 563.59321 8.76139 7.30474 8.99736 527.38749 7.71018 7.81751 8.36075 11.48712 "大學以上"
"女" 594.20483 8.57095 8.34615 8.25602 576.53743 9.57219 9.45051 9.86849 11.48712 "大學以上"
"女" 632.43905 9.13133 8.82228 7.678 611.06196 10.68878 11.35416 12.38397 11.48712 "大學以上"
"女" 611.28857 6.74882 5.39638 3.27793 545.23537 7.71018 6.50215 4.91876 11.71427 "大學以上"
"女" 589.02501 9.4964 9.08085 8.51577 543.17411 7.9045 7.81751 8.08863 9.64761 "高中"
"女" 846.27744 13.84849 11.3019 13.19086 750.94853 11.533 10.97071 10.13014 10.23835 "專科"
"女" 620.89971 8.16805 8.57829 5.90622 669.67963 8.69661 9.23574 8.36075 10.23835 "高中"
"女" 741.35364 8.57095 7.70526 7.34181 644.73901 7.51243 8.21205 6.313 10.84499 "大學以上"
"女" 603.35686 8.76139 9.98068 8.76168 539.60198 7.9045 8.41123 6.76777 10.84499 "大學以上"
"女" 621.97438 9.31385 8.82228 10.59469 572.59842 7.9045 7.81751 8.08863 10.23835 "高中"
"女" 654.70584 9.86638 9.65438 11.12082 608.93233 10.36663 7.61946 10.70197 11.48712 "專科"
"女" 635.91739 7.13627 8.57829 8.76168 564.92518 6.88421 9.23574 3.24992 10.23835 "大學以上"
"女" 589.53846 7.95043 7.10653 3.27793 551.28261 8.09896 7.81751 7.49248 9.03613 "高中"
"女" 705.36075 9.4964 6.48714 10.35323 598.3892 5.65807 6.20452 3.24992 11.48712 "大學以上"
"女" 624.99707 8.57095 8.34615 8.25602 577.91691 9.57219 9.6695 8.62122 11.48712 "大學以上"
"女" 656.30521 10.05658 6.90631 11.12082 570.16773 8.09896 8.01452 8.36075 8.3581 "高中"
"女" 662.79645 9.4964 12.04145 8.51577 617.56701 11.533 11.88785 10.81904 9.03613 "高中"
"女" 706.50636 10.05658 8.57829 9.45004 619.76908 8.90441 10.13091 8.62122 10.84499 "高中"
"女" 538.87442 8.57095 7.10653 7.678 511.68553 7.9045 7.81751 8.08863 10.84499 "專科"
"男" 734.56598 9.4964 7.91135 10.35323 695.26993 9.34076 8.6128 11.82899 11.48712 "大學以上"
"男" 635.08313 10.05658 8.82228 9.45004 518.79014 7.71018 9.23574 7.49248 11.48712 "大學以上"
"男" 662.70792 11.42832 13.48293 15.85188 588.45167 8.09896 7.61946 9.12286 11.48712 "大學以上"
"男" 762.21838 10.89898 11.3019 14.06165 759.27145 13.51778 12.9367 13.18921 12.25657 "大學以上"
"男" 627.06001 8.37412 8.82228 7.97991 580.7775 8.90441 9.45051 8.36075 12.25657 "大學以上"
"男" 674.54814 10.25252 9.98068 11.12082 612.9203 9.34076 10.13091 10.13014 10.84499 "高中"
"男" 557.31009 8.94763 7.91135 8.51577 593.42944 9.11856 9.6695 8.36075 13.51543 "大學以上"
"男" 706.6039 10.89898 8.82228 9.22591 657.86412 8.90441 10.97071 9.12286 13.51543 "大學以上"
"男" 611.05707 11.14859 8.34615 8.51577 641.21095 9.34076 9.45051 7.80038 8.3581 "高中"
"男" 749.39191 9.31385 8.57829 10.35323 688.76244 8.295 8.81725 8.08863 13.51543 "大學以上"
"男" 676.44237 7.13627 7.91135 6.49606 611.77827 8.90441 9.6695 8.36075 10.23835 "專科"
"男" 638.41784 9.31385 7.70526 8.76168 622.87166 8.69661 8.21205 8.62122 10.23835 "高中"
"男" 717.83802 10.45644 8.57829 10.59469 664.53871 9.11856 9.45051 9.36803 10.84499 "專科"
"男" 652.39325 10.05658 11.3019 10.59469 556.28829 9.81723 12.9367 8.62122 10.23835 "大學以上"
